seed,phase_C_tick,cv_pre,cv_post,delta
176,4150,0.9149200000000001,0.13348,-0.7814400000000001
177,3600,0.9150600000000001,0.14700000000000002,-0.7680600000000001
178,4900,0.91447,0.1447,-0.7697700000000001
179,4350,0.91334,0.14747000000000002,-0.76587
180,5350,0.9244300000000001,0.25689,-0.66754
181,3800,0.9124800000000001,0.09583000000000001,-0.8166500000000001
182,3850,0.90755,0.10172999999999999,-0.80582
183,3600,0.91862,0.15707999999999997,-0.76154
184,4250,0.9118999999999999,0.1372,-0.7746999999999999
185,3900,0.91105,0.11598,-0.79507
186,4900,0.92201,0.21187,-0.71014
187,3900,0.9114699999999999,0.12379999999999998,-0.7876699999999999
188,3600,0.9191499999999999,0.20792000000000002,-0.7112299999999999
189,4400,0.9145899999999999,0.15542,-0.7591699999999999
190,4300,0.91449,0.15234999999999999,-0.76214
191,3800,0.82297,0.12349999999999998,-0.69947
192,3550,0.9146000000000001,0.15104,-0.76356
193,4500,0.9183199999999999,0.19082,-0.7274999999999999
194,4400,0.91396,0.1455,-0.76846
195,3650,0.91239,0.11437,-0.7980200000000001
196,4250,0.91394,0.15488,-0.75906
197,3700,0.91906,0.1509,-0.76816
198,3750,0.91468,0.14148,-0.7732000000000001
199,5500,0.91934,0.19633,-0.72301
200,4900,0.9217000000000001,0.22264,-0.69906
201,3750,0.91539,0.16558,-0.7498100000000001
202,4550,0.10488,0.10724,0.002360000000000001
203,5100,0.925,0.25527000000000005,-0.6697299999999999
204,3700,0.91647,0.1345,-0.78197
205,5200,0.92092,0.22166000000000002,-0.69926
206,4350,0.91798,0.1679,-0.7500800000000001
207,4200,0.9122299999999999,0.13528,-0.7769499999999998
208,3750,0.91098,0.11786,-0.79312
209,3900,0.90899,0.09899,-0.8099999999999999
210,4900,0.92201,0.23278,-0.68923
211,3700,0.9128299999999999,0.1447,-0.76813
212,5050,0.92279,0.25633,-0.66646
213,4650,0.92196,0.21946,-0.7025
214,5450,0.92454,0.23708,-0.68746
215,4500,0.91361,0.16373000000000001,-0.74988
216,3850,0.91598,0.18446,-0.73152
217,3700,0.9191900000000001,0.16397999999999996,-0.7552100000000002
218,4950,0.92182,0.23875999999999994,-0.68306
219,4300,0.12434,0.12274000000000003,-0.0015999999999999764
220,4400,0.91501,0.15603,-0.75898
221,4950,0.9216,0.24156999999999998,-0.68003
222,4400,0.9130699999999999,0.15272000000000002,-0.7603499999999999
223,4700,0.92249,0.22978,-0.69271
224,4700,0.91579,0.19197999999999998,-0.7238100000000001
225,4250,0.9143000000000001,0.1494,-0.7649000000000001
226,4250,0.91402,0.15856,-0.75546
227,3950,0.82555,0.12223999999999999,-0.70331
228,3850,0.91252,0.10894,-0.80358
229,5250,0.91951,0.22608,-0.69343
230,5100,0.91737,0.20917,-0.7082
231,4600,0.92081,0.21436000000000002,-0.70645
232,3650,0.9124399999999999,0.12644000000000002,-0.7859999999999999
233,4150,0.91302,0.14833,-0.7646900000000001
235,3800,0.9093600000000001,0.11299000000000001,-0.79637
236,4050,0.90893,0.10747999999999999,-0.80145
