lipid_supply,imposed_cv,imposed_T,seed,tick,n_intervals,min_interval,max_interval,mean_interval,last_interval,cell_S,rv
0.008,,,5,18400,2,1718.0,2103.0,1910.5,1718.0,0.97557,0.3178
0.008,,,5,18400,1,1865.0,1865.0,1865.0,1865.0,0.96847,0.3629
0.008,,,5,18400,1,1724.0,1724.0,1724.0,1724.0,0.98866,0.2692
0.008,,,5,18400,1,1693.0,1693.0,1693.0,1693.0,0.9785,0.3546
0.008,,,5,18400,0,-1.0,-1.0,-1.0,-1.0,0.99319,0.2491
0.008,,,5,18400,0,-1.0,-1.0,-1.0,-1.0,0.98709,0.3114
0.008,,,5,18400,0,-1.0,-1.0,-1.0,-1.0,0.96846,0.3619
0.008,,,5,18400,0,-1.0,-1.0,-1.0,-1.0,0.97849,0.3072
0.008,,,5,18400,0,-1.0,-1.0,-1.0,-1.0,0.97556,0.324
0.008,,,5,18400,0,-1.0,-1.0,-1.0,-1.0,0.0,0.4658
0.008,,,5,18400,0,-1.0,-1.0,-1.0,-1.0,0.99023,0.2571
0.008,,,5,18400,0,-1.0,-1.0,-1.0,-1.0,0.98566,0.2741
0.008,,,5,18400,0,-1.0,-1.0,-1.0,-1.0,0.98371,0.2596
0.008,,,5,18400,0,-1.0,-1.0,-1.0,-1.0,0.97283,0.3037
0.008,,,5,18400,0,-1.0,-1.0,-1.0,-1.0,0.96912,0.3496
0.008,,,5,18400,0,-1.0,-1.0,-1.0,-1.0,0.96491,0.2942
0.008,,,5,18400,0,-1.0,-1.0,-1.0,-1.0,0.96491,0.3608
0.008,,,5,18400,0,-1.0,-1.0,-1.0,-1.0,0.96491,0.3428
0.008,,,5,18400,0,-1.0,-1.0,-1.0,-1.0,0.96013,0.3007
0.008,,,5,18400,0,-1.0,-1.0,-1.0,-1.0,0.96013,0.3978
0.008,,,5,18600,3,1772.0,2037.0,1867.67,1794.0,0.98536,0.3172
0.008,,,5,18600,2,1718.0,2103.0,1910.5,1718.0,0.98711,0.2825
0.008,,,5,18600,1,1865.0,1865.0,1865.0,1865.0,0.98336,0.3229
0.008,,,5,18600,1,1724.0,1724.0,1724.0,1724.0,0.99401,0.2438
0.008,,,5,18600,1,1693.0,1693.0,1693.0,1693.0,0.98865,0.3157
0.008,,,5,18600,0,-1.0,-1.0,-1.0,-1.0,0.99641,0.2248
0.008,,,5,18600,0,-1.0,-1.0,-1.0,-1.0,0.99319,0.2794
0.008,,,5,18600,0,-1.0,-1.0,-1.0,-1.0,0.98335,0.322
0.008,,,5,18600,0,-1.0,-1.0,-1.0,-1.0,0.98865,0.2735
0.008,,,5,18600,0,-1.0,-1.0,-1.0,-1.0,0.9871,0.2898
0.008,,,5,18600,0,-1.0,-1.0,-1.0,-1.0,0.99484,0.231
0.008,,,5,18600,0,-1.0,-1.0,-1.0,-1.0,0.99243,0.2473
0.008,,,5,18600,0,-1.0,-1.0,-1.0,-1.0,0.9914,0.2344
0.008,,,5,18600,0,-1.0,-1.0,-1.0,-1.0,0.98566,0.2717
0.008,,,5,18600,0,-1.0,-1.0,-1.0,-1.0,0.98371,0.314
0.008,,,5,18600,0,-1.0,-1.0,-1.0,-1.0,0.98148,0.2648
0.008,,,5,18600,0,-1.0,-1.0,-1.0,-1.0,0.98148,0.3201
0.008,,,5,18600,0,-1.0,-1.0,-1.0,-1.0,0.98148,0.31
0.008,,,5,18600,0,-1.0,-1.0,-1.0,-1.0,0.97896,0.2733
0.008,,,5,18600,0,-1.0,-1.0,-1.0,-1.0,0.97896,0.3502
0.008,,,5,18800,3,1772.0,2037.0,1867.67,1794.0,0.99227,0.2815
