imposed_cv,imposed_T,seed,tick,realized_interval,cell_S,n_intervals,n_divisions
0.0,3200,15,20000,-1.0,0.88913,0,0
0.0,3200,15,20000,-1.0,0.88913,0,0
0.0,3200,15,20000,-1.0,0.88913,0,0
0.0,3200,15,20000,-1.0,0.88913,0,0
0.0,3200,15,20000,-1.0,0.88913,0,0
0.0,3200,15,20000,-1.0,0.88913,0,0
0.0,3200,15,20000,-1.0,0.88913,0,0
0.0,3200,15,20000,-1.0,0.88913,0,0
0.0,3200,15,20000,-1.0,0.88913,0,0
0.0,3200,15,20000,-1.0,0.88913,0,0
0.0,3200,15,20000,-1.0,0.88913,0,0
0.0,3200,15,20000,-1.0,0.88913,0,0
0.0,3200,15,20000,-1.0,0.88913,0,0
0.0,3200,5,16000,3200.0,0.0,4,5
0.0,3200,5,16000,3200.0,0.0,4,5
0.0,3200,5,16000,3200.0,0.0,4,5
0.0,3200,5,16000,3200.0,0.0,4,5
0.0,3200,5,16000,3200.0,0.0,4,5
0.0,3200,5,16000,3200.0,0.0,4,5
0.0,3200,5,16000,3200.0,0.0,4,5
0.0,3200,5,16000,3200.0,0.0,4,5
0.0,3200,5,16000,3200.0,0.0,4,5
0.0,3200,5,16000,3200.0,0.0,4,5
0.0,3200,5,16000,3200.0,0.0,4,5
0.0,3200,5,16000,3200.0,0.0,4,5
0.0,3200,5,16000,3200.0,0.0,4,5
0.0,3200,5,16000,3200.0,0.0,4,5
0.0,3200,5,16000,3200.0,0.0,4,5
0.0,3200,5,16000,-1.0,0.0,0,0
0.0,3200,5,16000,-1.0,0.0,0,0
0.0,3200,5,16000,-1.0,0.0,0,0
0.0,3200,5,16000,-1.0,0.0,0,0
0.0,3200,5,16000,-1.0,0.0,0,0
0.0,3200,5,16000,-1.0,0.0,0,0
0.0,3200,5,16000,-1.0,0.0,0,0
0.0,3200,5,16000,-1.0,0.0,0,0
0.0,3200,5,16000,-1.0,0.0,0,0
0.0,3200,5,16000,-1.0,0.0,0,0
