imposed_cv,imposed_T,seed,max_ticks,steady_S,final_S,S_crossed,S_cross_tick,measured_cv,final_pop,total_div,n_rv,rv_median,pct_premature,S_q1,S_q2,S_q3,S_q4,S_q5
0.05,400,20,20000,0.2696,0.3613,1,1000,0.0416,22,1018,1018,0.5164,100.0,0.2361,0.2849,0.2739,0.2736,0.2685
0.05,400,21,20000,0.2665,0.2745,1,1000,0.0485,27,996,996,0.5247,100.0,0.2246,0.2834,0.2656,0.2694,0.2664
0.05,400,22,20000,0.2721,0.2635,1,1000,0.0487,29,1042,1042,0.5236,100.0,0.2375,0.2799,0.2748,0.2766,0.2722
0.05,400,23,20000,0.2704,0.3059,1,1000,0.0447,25,1046,1046,0.5221,100.0,0.2396,0.2812,0.2717,0.272,0.2699
0.05,400,24,20000,0.2745,0.2985,1,1000,0.0444,27,1010,1010,0.5306,100.0,0.2421,0.2772,0.2754,0.2794,0.2742
0.05,800,0,20000,0.5066,0.4218,1,1350,0.0504,37,643,643,0.4091,100.0,0.3715,0.5304,0.537,0.5183,0.5077
0.05,800,1,20000,0.5043,0.4934,1,500,0.0475,36,648,648,0.4084,99.5,0.3947,0.5118,0.5095,0.5048,0.5044
0.05,800,2,20000,0.5135,0.3818,1,600,0.0482,40,648,648,0.4103,100.0,0.3962,0.5248,0.5144,0.5135,0.5151
0.05,800,3,20000,0.5034,0.4912,1,1850,0.0453,35,602,602,0.4044,99.0,0.258,0.5118,0.4992,0.4977,0.5036
0.05,800,4,20000,0.5142,0.5478,1,1350,0.0477,34,624,624,0.4041,99.8,0.3425,0.5311,0.5233,0.5043,0.5137
0.05,800,5,20000,0.0,0.0,0,-1,0.0298,19,295,295,0.2125,87.8,0.0,0.0,0.0,0.0,0.0
0.05,800,6,20000,0.5164,0.4802,1,1350,0.05,36,659,659,0.4106,99.4,0.3766,0.5327,0.5234,0.523,0.5169
0.05,800,7,20000,0.5146,0.5313,1,1350,0.0488,35,644,644,0.4108,100.0,0.3742,0.5307,0.5234,0.5273,0.5144
