max_cells,seed,tick,n_intervals,n_divisions,cell_S
20,5,37600,0,0,0.0
20,5,37600,0,0,0.0
20,5,37600,0,0,0.0
20,5,37600,0,0,0.0
20,5,37600,0,0,0.0
20,5,37600,0,0,0.0
20,5,37600,0,0,0.0
20,5,37600,0,0,0.0
20,5,37600,0,0,0.0
20,5,37600,0,0,0.0
20,5,37600,0,0,0.0
20,5,37600,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,37800,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38000,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38200,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38400,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38600,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,38800,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39000,0,0,0.0
20,5,39200,0,0,0.0
20,5,39200,0,0,0.0
20,5,39200,0,0,0.0
