imposed_cv,imposed_T,seed,realized_interval,cell_S,n_intervals,n_divisions
0.0,6400,1,6400.0,0.87923,2,3
0.0,6400,1,6400.0,0.9124,2,3
0.0,6400,1,6400.0,0.9124,2,3
0.0,6400,1,6400.0,0.9124,2,3
0.0,6400,1,6400.0,0.9124,1,2
0.0,6400,1,6400.0,0.9124,1,2
0.0,6400,1,6400.0,0.9124,1,2
0.0,6400,1,6400.0,0.9124,1,2
0.0,6400,1,6400.0,0.9124,1,2
0.0,6400,1,-1.0,0.9124,0,0
0.0,6400,1,-1.0,0.9124,0,0
0.0,6400,1,-1.0,0.76319,0,0
0.0,6400,1,-1.0,0.9124,0,0
0.0,6400,1,-1.0,0.9124,0,0
0.0,6400,1,-1.0,0.9124,0,0
0.0,6400,1,-1.0,0.9124,0,0
0.0,6400,1,-1.0,0.9124,0,0
0.0,6400,1,-1.0,0.9124,0,0
0.0,6400,1,-1.0,0.9124,0,0
0.0,6400,1,-1.0,0.9124,0,0
0.0,3200,16,3200.0,0.9124,5,6
0.0,3200,16,3200.0,0.9124,5,6
0.0,3200,16,3200.0,0.9124,4,5
0.0,3200,16,3200.0,0.9124,4,5
0.0,3200,16,3200.0,0.9124,3,4
0.0,3200,16,3200.0,0.9124,3,4
0.0,3200,16,3200.0,0.9124,3,4
0.0,3200,16,3200.0,0.9124,3,4
0.0,3200,16,3200.0,0.9124,2,3
0.0,3200,16,3200.0,0.9124,2,3
0.0,3200,16,3200.0,0.9124,2,3
0.0,3200,16,3200.0,0.9124,2,3
0.0,3200,16,3200.0,0.9124,2,3
0.0,3200,16,3200.0,0.9124,2,3
0.0,3200,16,3200.0,0.9124,2,3
0.0,3200,16,3200.0,0.9124,2,3
0.0,3200,16,3200.0,0.9124,1,2
0.0,3200,16,3200.0,0.9124,1,2
0.0,3200,16,3200.0,0.9124,1,2
0.0,3200,16,3200.0,0.9124,1,2
0.0,3200,16,3200.0,0.9124,1,2
0.0,3200,16,3200.0,0.9124,1,2
0.0,3200,16,3200.0,0.9124,1,2
0.0,3200,16,3200.0,0.9124,1,2
0.0,3200,16,3200.0,0.9124,1,2
0.0,3200,16,3200.0,0.9124,1,2
0.0,3200,16,3200.0,0.9124,1,2
0.0,3200,16,3200.0,0.9124,1,2
0.0,3200,16,3200.0,0.9124,1,2
0.0,3200,16,3200.0,0.9124,1,2
0.0,3200,16,3200.0,0.9124,1,2
0.0,3200,16,3200.0,0.9124,1,2
0.0,3200,16,3200.0,0.9124,1,2
0.0,6400,0,6400.0,0.9124,2,3
0.0,6400,0,6400.0,0.9124,2,3
0.0,6400,0,6400.0,0.91223,2,3
0.0,6400,0,6400.0,0.91236,2,3
0.0,6400,0,6400.0,0.9124,1,2
0.0,6400,0,6400.0,0.9124,1,2
0.0,6400,0,6400.0,0.91232,1,2
0.0,6400,0,6400.0,0.91235,1,2
0.0,6400,0,-1.0,0.9124,0,0
0.0,6400,0,-1.0,0.9124,0,0
0.0,6400,0,-1.0,0.91227,0,0
0.0,6400,0,-1.0,0.91235,0,0
0.0,6400,0,-1.0,0.9124,0,0
0.0,6400,0,-1.0,0.9124,0,0
0.0,6400,0,-1.0,0.91227,0,0
0.0,6400,0,-1.0,0.91233,0,0
0.0,6400,0,-1.0,0.88913,0,0
0.0,6400,0,-1.0,0.88913,0,0
0.0,6400,0,-1.0,0.88902,0,0
0.0,6400,0,-1.0,0.88878,0,0
0.0,6400,0,-1.0,0.88913,0,0
0.0,6400,0,-1.0,0.88913,0,0
0.0,6400,0,-1.0,0.88903,0,0
0.0,6400,0,-1.0,0.88907,0,0
0.0,6400,0,-1.0,0.88913,0,0
0.0,6400,0,-1.0,0.88913,0,0
0.0,6400,0,-1.0,0.88892,0,0
0.0,6400,0,-1.0,0.88905,0,0
0.0,6400,0,-1.0,0.88913,0,0
0.0,6400,0,-1.0,0.88913,0,0
0.0,6400,0,-1.0,0.88904,0,0
0.0,6400,0,-1.0,0.88909,0,0
0.0,3200,21,3200.0,0.9124,5,6
0.0,3200,21,3200.0,0.9124,4,5
0.0,3200,21,3200.0,0.9124,3,4
0.0,3200,21,3200.0,0.9124,3,4
0.0,3200,21,3200.0,0.9124,2,3
0.0,3200,21,3200.0,0.9124,2,3
0.0,3200,21,3200.0,0.9124,2,3
0.0,3200,21,3200.0,0.9124,2,3
0.0,3200,21,3200.0,0.9124,1,2
0.0,3200,21,3200.0,0.9124,1,2
0.0,3200,21,3200.0,0.9124,1,2
0.0,3200,21,3200.0,0.9124,1,2
0.0,3200,21,3200.0,0.9124,1,2
0.0,3200,21,3200.0,0.9124,1,2
0.0,3200,21,3200.0,0.9124,1,2
0.0,3200,21,3200.0,0.9124,1,2
0.0,3200,21,-1.0,0.9124,0,0
0.0,3200,21,-1.0,0.9124,0,0
0.0,3200,21,-1.0,0.9124,0,0
0.0,3200,21,-1.0,0.9124,0,0
0.0,3200,21,-1.0,0.9124,0,0
0.0,3200,21,-1.0,0.9124,0,0
0.0,3200,21,-1.0,0.9124,0,0
0.0,3200,21,-1.0,0.9124,0,0
0.0,3200,21,-1.0,0.9124,0,0
0.0,3200,21,-1.0,0.9124,0,0
0.0,3200,21,-1.0,0.9124,0,0
0.0,3200,21,-1.0,0.9124,0,0
0.0,3200,21,-1.0,0.9124,0,0
